startup_name,industry,original_ask_amount,total_deal_amount,number_of_sharks_in_deal,total_deal_equity,number_of_presenters,funded_flag
BluePineFoods,Food and Beverage,50.0,75.0,3.0,16.0,3,True
BoozScooters,Vehicles/Electrical Vehicles,40.0,40.0,2.0,50.0,1,True
HeartUpMySleeves,Beauty/Fashion,25.0,25.0,2.0,30.0,1,True
TagzFoods,Food and Beverage,70.0,70.0,1.0,2.75,2,True
HeadAndHeart,Children/Education,50.0,,,,4,False
Agritourism,Agriculture,50.0,,,,2,False
qZenseLabs,Food and Beverage,100.0,,,,2,False
Peeschute,Beauty/Fashion,75.0,75.0,1.0,6.0,1,True
NOCD,Food and Beverage,50.0,20.0,1.0,15.0,2,True
CosIQ,Beauty/Fashion,50.0,50.0,2.0,25.0,2,True
JhaJiAchaar,Food and Beverage,50.0,56.6,2.0,5.62,2,True
Bummer,Beauty/Fashion,75.0,75.0,2.0,7.5,1,True
RevampMoto,Vehicles/Electrical Vehicles,100.0,100.0,2.0,1.5,3,True
HungryHead,Food and Beverage,50.0,,,,2,False
ShrawaniEngineers,Beauty/Fashion,20.0,,,,2,False
SkippiIcePops,Food and Beverage,45.0,100.0,5.0,15.0,2,True
Menstrupedia,Children/Education,50.0,50.0,1.0,20.0,2,True
Hecoll,Beauty/Fashion,100.0,,,,1,False
RaisingSuperstars,Children/Education,100.0,100.0,2.0,4.0,2,True
Torch-it,Children/Education,75.0,,,,1,False
Kavach,Children/Education,5.0,5.0,2.0,10.0,2,True
LaKheerDeli,Food and Beverage,50.0,,,,3,False
BeyondSnack,Food and Beverage,50.0,50.0,2.0,2.5,1,True
VivalyfInnovations,Medical/Health,56.0,56.0,2.0,33.33,2,True
MotionBreeze,Vehicles/Electrical Vehicles,30.0,30.0,1.0,6.0,4,True
Altor,Manufacturing,50.0,50.0,2.0,7.0,4,True
Ariro,Manufacturing,50.0,50.0,2.0,10.0,2,True
KabiraHandmad,Food and Beverage,100.0,,,,2,False
Nuutjob,Beauty/Fashion,25.0,25.0,3.0,20.0,2,True
Meatyour,Food and Beverage,30.0,30.0,3.0,20.0,3,True
EventBeep,Children/Education,30.0,30.0,3.0,3.0,3,True
Gopal's56,Food and Beverage,30000.0,,,,1,False
ARRCOATSurfaceTextures,Manufacturing,50.0,50.0,1.0,15.0,3,True
Farda,Beauty/Fashion,30.0,30.0,2.0,20.0,2,True
Auli,Beauty/Fashion,75.0,75.0,1.0,15.0,1,True
SweeDesi,Food and Beverage,40.0,,,,2,False
LOKA,Technology/Software,40.0,40.0,3.0,24.0,1,True
Annie,Children/Education,30.0,105.0,3.0,3.0,4,True
Carragreen,Green/CleanTech,50.0,50.0,2.0,20.0,2,True
TheYarnBazaar,Manufacturing,50.0,100.0,4.0,10.0,1,True
TheRenalProject,Medical/Health,100.0,100.0,2.0,6.0,1,True
MorrikoPureFoods,Food and Beverage,100.0,,,,3,False
GoodGoodPiggy,Technology/Software,45.0,,,,2,False
HammerLifestyle,Electronics,30.0,100.0,1.0,40.0,3,True
PNTRobotics,Technology/Software,50.0,25.0,1.0,25.0,2,True
Cocofit,Food and Beverage,5.0,5.0,3.0,5.0,3,True
BambooIndia,Manufacturing,80.0,50.0,2.0,3.5,2,True
FlyingFur,Animal/Pets,75.0,,,,3,False
BeyondWater,Food and Beverage,75.0,75.0,2.0,15.0,2,True
Let'sTry,Food and Beverage,45.0,45.0,2.0,12.0,4,True
FindYourKicksIndia,Beauty/Fashion,50.0,50.0,5.0,25.0,3,True
AasVidyalaya,Children/Education,150.0,150.0,3.0,15.0,2,True
Outbox,Business Services,50.0,,,,2,False
RoadBounce,Technology/Software,80.0,80.0,1.0,20.0,1,True
Mommy'sKitchen,Food and Beverage,90.0,,,,3,False
IndiaHempandCo,Food and Beverage,50.0,,,,1,False
Otua,Vehicles/Electrical Vehicles,100.0,1.0,1.0,1.0,2,True
Anthyesti,Business Services,50.0,,,,1,False
Ethik,Manufacturing,15.0,,,,2,False
WeSTOCK,Animal/Pets,50.0,60.0,4.0,10.0,2,True
KetoIndia,Food and Beverage,150.0,,,,1,False
Magiclock,Hardware,120.0,,,,3,False
TheStatePlate,Food and Beverage,65.0,40.0,1.0,3.0,2,True
Bakarmax,Technology/Software,35.0,,,,2,False
INACAN,Food and Beverage,50.0,100.0,5.0,10.0,3,True
Get-A-Whey,Food and Beverage,100.0,100.0,3.0,15.0,2,True
Sid07Designs,Hardware,47.0,25.0,1.0,75.0,1,True
TheQuirkyNaari,Beauty/Fashion,35.0,35.0,2.0,24.0,1,True
HairOriginals,Beauty/Fashion,60.0,60.0,3.0,4.0,3,True
Poo-de-Cologne,Beauty/Fashion,75.0,,,,1,False
Moonshine,Food and Beverage,80.0,,,,2,False
Falhari,Food and Beverage,50.0,,,,3,False
NamhyaFoods,Food and Beverage,100.0,50.0,1.0,10.0,1,True
UrbanMonkey,Beauty/Fashion,100.0,,,,1,False
GuardianGears,Manufacturing,30.0,,,,2,False
ModernMyth,Beauty/Fashion,75.0,,,,2,False
TheSassBar,Beauty/Fashion,40.0,50.0,2.0,35.0,1,True
KGAgrotech,Agriculture,30.0,10.0,1.0,40.0,2,True
NuskhaKitchen,Food and Beverage,20.0,,,,2,False
PawsIndia,Animal/Pets,50.0,50.0,1.0,15.0,1,True
SunfoxTechnologies,Medical/Health,100.0,100.0,5.0,6.0,4,True
Alpino,Food and Beverage,150.0,,,,4,False
