industry,total_startups,funded_startups,total_funding,avg_funding
Beauty/Fashion,127,74,5938.0,80.24324324324324
Food and Beverage,142,82,5372.6,65.51951219512196
Medical/Health,56,41,3383.00101,82.51221975609756
Technology/Software,58,36,2887.0,80.19444444444444
Manufacturing,52,26,1631.0,62.73076923076923
Business Services,42,18,1365.0,75.83333333333333
Lifestyle/Home,43,17,1140.0,67.05882352941177
Fitness/Sports/Outdoors,19,15,1105.0,73.66666666666667
Children/Education,25,16,1086.0,67.875
Green/CleanTech,15,8,685.0125,85.6265625
Vehicles/Electrical Vehicles,20,9,491.0,49.1
Electronics,5,3,400.0,133.33333333333334
Liquor/Alcohol,6,3,270.0,90.0
Agriculture,7,5,190.0,38.0
Entertainment,4,1,150.0,150.0
Animal/Pets,6,2,110.0,55.0
Others,5,2,61.3,30.65
Hardware,2,1,25.0,25.0
